Application Name:	ZOOMA (Automatic Ontology Mapper)
Version:	2.0
Run at:	13:50.34, 03.10.23
Run from:	http://www.ebi.ac.uk/fgpt/zooma


PROPERTY TYPE	PROPERTY VALUE	ONTOLOGY TERM LABEL(S)	ONTOLOGY TERM SYNONYM(S)	CONFIDENCE	ONTOLOGY TERM(S)	ONTOLOGY(S)	SOURCE(S)	STUDY
[NO TYPE]	bovine',	Defibrotide (Bovine)		Medium	NCIT_C155982	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	bovine',	Bovine Cartilage		Medium	NCIT_C2418	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Lacerta vivipara',	Lacerta		Medium	NCBITaxon_8523	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Lacerta vivipara',	Lacerta		Medium	VTO_0018631	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Ovis aries',	Ovis aries		Good	NCBITaxon_9940	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/metabolights	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Rattus sp. ABTC 42503',	Rattus sp. ABTC 42503		Medium	VTO_0014844	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Rattus sp. ABTC 42503',	Rattus sp. ABTC 42503		Medium	NCBITaxon_435435	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Schmidtea mediterranea',	Schmidtea mediterranea		Good	NCBITaxon_79327	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Arctictis binturong',	Arctictis binturong		Medium	NCBITaxon_94180	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Arctictis binturong',	Arctictis binturong		Medium	VTO_0010949	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Lemna minor',	Lemna minor		Medium	NCBITaxon_4472	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Lemna minor',	Lemna minor		Medium	NCIT_C72355	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'rhesus macaques',	Macaca mulatta		Good	NCBITaxon_9544	http://purl.obolibrary.org/obo/	https://bio.scai.fraunhofer.de/ontology/epilepsy	[UNKNOWN EXPERIMENTS]
